service_id,date,exception_type
92610,20220328,1
12010,20220328,1
96910,20220328,1
77710,20220328,1
40510,20220328,1
92610,20220329,1
12010,20220329,1
96910,20220329,1
77710,20220329,1
40510,20220329,1
92610,20220330,1
12010,20220330,1
96910,20220330,1
77710,20220330,1
40510,20220330,1
92610,20220331,1
12010,20220331,1
96910,20220331,1
77710,20220331,1
40510,20220331,1
96910,20220401,1
77710,20220401,1
92610,20220404,1
12010,20220404,1
77710,20220404,1
40510,20220404,1
92610,20220405,1
12010,20220405,1
77710,20220405,1
40510,20220405,1
92610,20220406,1
12010,20220406,1
77710,20220406,1
40510,20220406,1
92610,20220407,1
12010,20220407,1
77710,20220407,1
40510,20220407,1
92610,20220408,1
12010,20220408,1
77710,20220408,1
92610,20220418,1
12010,20220418,1
96910,20220418,1
77710,20220418,1
40510,20220418,1
92610,20220419,1
12010,20220419,1
96910,20220419,1
77710,20220419,1
40510,20220419,1
92610,20220420,1
12010,20220420,1
96910,20220420,1
77710,20220420,1
40510,20220420,1
92610,20220421,1
12010,20220421,1
96910,20220421,1
77710,20220421,1
40510,20220421,1
92610,20220422,1
12010,20220422,1
96910,20220422,1
77710,20220422,1
92610,20220425,1
12010,20220425,1
96910,20220425,1
77710,20220425,1
40510,20220425,1
92610,20220426,1
12010,20220426,1
96910,20220426,1
77710,20220426,1
40510,20220426,1
92610,20220427,1
12010,20220427,1
96910,20220427,1
77710,20220427,1
40510,20220427,1
92610,20220428,1
12010,20220428,1
96910,20220428,1
77710,20220428,1
40510,20220428,1
92610,20220429,1
12010,20220429,1
96910,20220429,1
77710,20220429,1
92610,20220502,1
12010,20220502,1
96910,20220502,1
77710,20220502,1
40510,20220502,1
92610,20220503,1
12010,20220503,1
96910,20220503,1
77710,20220503,1
40510,20220503,1
92610,20220504,1
12010,20220504,1
96910,20220504,1
77710,20220504,1
40510,20220504,1
92610,20220505,1
12010,20220505,1
96910,20220505,1
77710,20220505,1
40510,20220505,1
92610,20220506,1
12010,20220506,1
96910,20220506,1
77710,20220506,1
92610,20220509,1
12010,20220509,1
96910,20220509,1
77710,20220509,1
40510,20220509,1
92610,20220510,1
12010,20220510,1
96910,20220510,1
77710,20220510,1
40510,20220510,1
92610,20220511,1
12010,20220511,1
96910,20220511,1
77710,20220511,1
40510,20220511,1
92610,20220512,1
12010,20220512,1
96910,20220512,1
77710,20220512,1
40510,20220512,1
92610,20220513,1
12010,20220513,1
96910,20220513,1
77710,20220513,1
92610,20220516,1
12010,20220516,1
96910,20220516,1
77710,20220516,1
40510,20220516,1
92610,20220517,1
12010,20220517,1
96910,20220517,1
77710,20220517,1
40510,20220517,1
92610,20220518,1
12010,20220518,1
96910,20220518,1
77710,20220518,1
40510,20220518,1
92610,20220519,1
12010,20220519,1
96910,20220519,1
77710,20220519,1
40510,20220519,1
92610,20220520,1
12010,20220520,1
96910,20220520,1
77710,20220520,1
92610,20220523,1
12010,20220523,1
96910,20220523,1
77710,20220523,1
40510,20220523,1
92610,20220524,1
12010,20220524,1
96910,20220524,1
77710,20220524,1
40510,20220524,1
92610,20220525,1
12010,20220525,1
96910,20220525,1
77710,20220525,1
40510,20220525,1
92610,20220526,1
12010,20220526,1
96910,20220526,1
77710,20220526,1
40510,20220526,1
92610,20220527,1
12010,20220527,1
87510,20220527,1
96910,20220527,1
77710,20220527,1
2,20220530,1
10,20220530,2
92610,20220531,1
12010,20220531,1
96910,20220531,1
77710,20220531,1
40510,20220531,1
92610,20220601,1
12010,20220601,1
96910,20220601,1
77710,20220601,1
40510,20220601,1
92610,20220602,1
12010,20220602,1
96910,20220602,1
77710,20220602,1
40510,20220602,1
92610,20220603,1
12010,20220603,1
96910,20220603,1
77710,20220603,1
40510,20220603,1
92610,20220606,1
12010,20220606,1
96910,20220606,1
77710,20220606,1
40510,20220606,1
92610,20220607,1
12010,20220607,1
96910,20220607,1
77710,20220607,1
40510,20220607,1
92610,20220608,1
12010,20220608,1
96910,20220608,1
77710,20220608,1
40510,20220608,1
96910,20220609,1
77710,20220609,1
40510,20220609,1
87510,20220610,1
77710,20220610,1
77710,20220613,1
40510,20220613,1
77710,20220614,1
40510,20220614,1
77710,20220620,1
77710,20220621,1
77710,20220622,1
77710,20220623,1
77710,20220624,1
77710,20220627,1
77710,20220628,1
77710,20220629,1
77710,20220630,1
77710,20220701,1
2,20220704,1
10,20220704,2
77710,20220705,1
77710,20220706,1
77710,20220707,1
77710,20220708,1
77710,20220711,1
77710,20220712,1
77710,20220713,1
77710,20220714,1
77710,20220715,1
77710,20220718,1
77710,20220719,1
77710,20220720,1
77710,20220721,1
77710,20220722,1
77710,20220725,1
77710,20220726,1
77710,20220727,1
77710,20220728,1
77710,20220729,1
77710,20220801,1
77710,20220802,1
77710,20220803,1
77710,20220804,1
77710,20220805,1
77710,20220808,1
77710,20220809,1
77710,20220810,1
77710,20220811,1
77710,20220812,1
