from_stop_id,to_stop_id,transfer_type,min_transfer_time
13,4,,
227,4,,
314,7,,
385,7,,
314,11,,
385,11,,
4,13,,
227,13,,
283,20,,
21,22,,
430,22,,
431,22,,
630,28,,
640,28,,
22,34,,
231,42,,
232,42,,
50,44,,
48,45,,
681,47,,
231,51,,
232,51,,
70,58,,
391,59,,
391,68,,
58,70,,
257,70,,
228,73,,
229,73,,
236,75,,
228,76,,
229,76,,
831,115,,
330,117,,
370,117,,
327,119,,
373,119,,
350,120,,
828,120,,
486,132,,
488,132,,
154,151,,
230,151,,
943,151,,
985,151,,
943,154,,
985,154,,
185,184,,
630,225,,
640,225,,
4,227,,
13,227,,
73,228,,
76,228,,
229,228,,
852,228,,
73,229,,
76,229,,
42,231,,
51,231,,
42,232,,
51,232,,
75,236,,
238,236,,
75,238,,
236,238,,
72,245,,
1186,245,,
62,246,,
65,246,,
66,248,,
58,257,,
70,257,,
279,275,,
279,278,,
275,279,,
278,279,,
286,283,,
20,284,,
286,284,,
852,297,,
852,298,,
300,299,,
389,309,,
389,310,,
7,314,,
11,314,,
119,327,,
117,330,,
337,336,,
336,337,,
338,337,,
337,338,,
339,338,,
120,350,,
1240,350,,
1278,354,,
117,370,,
119,373,,
7,385,,
11,385,,
59,391,,
68,391,,
689,391,,
422,421,,
421,422,,
523,422,,
22,430,,
431,430,,
22,431,,
428,520,,
422,523,,
426,561,,
520,561,,
574,576,,
580,577,,
577,580,,
566,591,,
761,622,,
28,630,,
225,630,,
28,640,,
225,640,,
46,681,,
682,681,,
685,681,,
681,682,,
681,685,,
59,689,,
68,689,,
1270,697,,
622,761,,
120,828,,
349,829,,
115,831,,
881,840,,
297,852,,
298,852,,
867,857,,
857,867,,
151,943,,
154,943,,
151,985,,
154,985,,
72,1186,,
245,1186,,
